user_id,activity_date,device_id,steps,active_minutes,resting_hr,sleep_minutes,sleep_deep_minutes,sleep_rem_minutes,sleep_light_minutes,calories
1,2024-07-10,2,6072,65,61.2,550,98,145,307,2001
1,2024-07-11,2,9718,83,54.6,445,79,113,253,2274
1,2024-07-12,2,7870,69,54.6,465,65,113,287,2111
1,2024-07-13,2,8215,86,58.4,359,80,65,214,2196
1,2024-07-14,2,9548,95,57.2,428,92,101,235,2241
1,2024-07-15,2,7906,74,55.3,437,80,89,268,2142
1,2024-07-16,2,9562,92,55.8,434,97,89,248,2431
1,2024-07-17,2,5742,52,57.9,363,57,80,226,2002
1,2024-07-18,2,10463,99,54.9,442,92,90,260,2338
1,2024-07-19,2,8196,62,55.4,410,77,78,255,2080
1,2024-07-20,2,8192,74,57.0,478,84,107,287,2186
1,2024-07-21,2,10366,87,60.6,408,54,101,253,2291
1,2024-07-22,2,11085,96,53.1,422,69,89,264,2337
1,2024-07-23,2,9552,91,54.9,426,64,105,257,2305
1,2024-07-24,2,8737,86,55.9,381,50,99,232,2208
1,2024-07-25,2,6374,49,60.1,430,68,94,268,1923
1,2024-07-26,2,9435,86,58.3,412,58,88,266,2129
1,2024-07-27,2,8140,71,54.2,427,93,102,232,2250
1,2024-07-28,2,9402,81,55.8,417,57,77,283,2296
1,2024-07-29,2,6657,62,57.8,493,71,92,330,1990
1,2024-07-30,2,5263,48,61.8,378,63,89,226,1967
1,2024-07-31,2,8920,83,58.4,437,85,95,257,2196
1,2024-08-01,2,8983,84,56.6,407,86,106,215,2261
1,2024-08-02,2,9327,84,56.1,353,80,84,189,2247
1,2024-08-03,2,8511,84,58.1,416,61,110,245,2163
1,2024-08-04,2,8629,82,54.6,484,84,125,275,2244
1,2024-08-05,2,10221,94,55.6,387,78,97,212,2349
1,2024-08-06,2,11997,117,52.9,366,75,82,209,2418
1,2024-08-07,2,8503,71,59.8,442,65,99,278,2173
1,2024-08-08,2,8944,93,56.7,402,65,77,260,2269
1,2024-08-09,2,8746,84,56.3,411,61,79,271,2224
1,2024-08-10,2,7239,72,61.1,364,60,69,235,2252
1,2024-08-11,2,5918,63,59.8,395,87,89,219,1966
1,2024-08-12,2,6784,66,56.4,456,89,87,280,2130
1,2024-08-13,2,5027,53,62.6,457,85,101,271,2071
1,2024-08-14,2,6682,64,56.6,424,56,88,280,2038
1,2024-08-15,2,6524,58,58.7,440,96,118,226,1994
1,2024-08-16,2,8564,76,57.9,410,88,76,246,2144
1,2024-08-17,2,8134,68,57.3,394,52,87,255,2182
1,2024-08-18,2,10350,87,55.5,461,63,120,278,2344
1,2024-08-19,2,6607,67,59.3,364,81,93,190,2105
1,2024-08-20,2,10580,102,54.7,406,83,108,215,2348
1,2024-08-21,2,7687,74,56.9,350,80,78,192,2156
1,2024-08-22,2,7823,61,58.9,506,83,96,327,2001
1,2024-08-23,2,7213,67,57.8,347,73,86,188,2055
1,2024-08-24,2,10269,96,54.6,382,79,92,211,2336
1,2024-08-25,2,8997,92,53.4,494,80,122,292,2376
1,2024-08-26,2,5787,67,54.5,392,76,82,234,2142
1,2024-08-27,2,8012,79,59.9,446,69,82,295,2216
1,2024-08-28,2,6716,69,56.7,394,72,79,243,2054
1,2024-08-29,2,9049,72,58.8,399,57,80,262,2235
1,2024-08-30,2,6455,62,58.6,446,72,112,262,2093
1,2024-08-31,2,7251,68,53.7,378,73,79,226,2154
1,2024-09-01,2,9916,90,55.3,427,57,112,258,2353
1,2024-09-02,2,9843,85,57.4,405,62,83,260,2298
1,2024-09-03,2,8198,73,56.2,393,63,104,226,2168
1,2024-09-04,2,7536,74,57.5,372,59,70,243,2224
1,2024-09-05,2,7190,75,58.2,481,82,96,303,2112
1,2024-09-06,2,9856,81,54.2,456,62,89,305,2297
