user_id,log_date,meal_type,calories,protein_g,carbs_g,fat_g
1,2024-07-10,lunch,1327.0,101.9,121.9,48.0
1,2024-07-10,snack,970.0,69.1,94.4,35.1
1,2024-07-12,lunch,640.0,42.4,69.4,21.4
1,2024-07-12,breakfast,947.0,63.0,122.4,22.8
1,2024-07-12,snack,902.0,55.2,103.0,29.9
1,2024-07-14,lunch,1442.0,108.0,158.9,41.6
1,2024-07-14,snack,1019.0,54.9,122.5,34.4
1,2024-07-16,breakfast,1020.0,66.9,108.6,35.3
1,2024-07-16,dinner,1415.0,96.5,143.4,50.6
1,2024-07-18,lunch,327.0,22.0,31.3,12.6
1,2024-07-18,breakfast,2147.0,158.4,266.3,49.8
1,2024-07-20,dinner,1068.0,58.0,122.2,38.6
1,2024-07-20,snack,1299.0,66.0,178.2,35.8
1,2024-07-20,breakfast,118.0,7.8,12.6,4.0
1,2024-07-23,lunch,272.0,18.1,33.8,7.2
1,2024-07-23,breakfast,1658.0,117.0,209.5,39.1
1,2024-07-23,dinner,367.0,31.0,36.5,10.8
1,2024-07-24,breakfast,1917.0,111.0,247.7,53.6
1,2024-07-24,lunch,346.0,29.1,38.3,8.5
1,2024-07-25,lunch,1442.0,85.9,179.8,42.1
1,2024-07-25,dinner,207.0,12.8,23.4,6.9
1,2024-07-25,snack,842.0,65.7,87.9,25.3
1,2024-07-25,breakfast,68.0,4.5,7.2,2.4
1,2024-07-26,snack,553.0,42.6,61.5,15.2
1,2024-07-26,breakfast,491.0,32.7,55.5,15.4
1,2024-07-26,dinner,350.0,21.9,37.1,12.7
1,2024-07-26,lunch,838.0,65.5,75.5,30.4
1,2024-07-27,breakfast,218.0,14.7,26.0,6.1
1,2024-07-27,dinner,1552.0,127.8,161.2,44.0
1,2024-07-27,snack,210.0,12.8,27.0,5.6
1,2024-07-27,lunch,383.0,30.7,41.0,10.7
1,2024-07-29,breakfast,1465.0,121.5,122.4,54.4
1,2024-07-29,dinner,288.0,20.7,36.9,6.4
1,2024-07-29,lunch,506.0,42.7,45.2,17.1
1,2024-07-29,snack,290.0,20.7,32.3,8.7
1,2024-07-30,lunch,2403.0,161.1,255.9,81.7
1,2024-07-30,snack,205.0,16.5,23.6,5.0
1,2024-07-31,breakfast,1200.0,100.6,106.8,41.1
1,2024-07-31,snack,433.0,23.7,58.7,11.5
1,2024-07-31,lunch,734.0,48.5,85.3,22.1
1,2024-08-02,dinner,672.0,34.1,84.8,21.8
1,2024-08-02,breakfast,1367.0,82.9,144.3,50.9
1,2024-08-02,lunch,219.0,12.3,24.9,7.8
1,2024-08-03,dinner,1454.0,74.4,212.9,33.9
1,2024-08-03,breakfast,451.0,22.6,56.4,15.0
1,2024-08-03,snack,152.0,7.6,22.8,3.4
1,2024-08-03,lunch,363.0,30.1,35.0,11.4
1,2024-08-04,snack,1028.0,71.9,112.0,32.5
1,2024-08-04,dinner,805.0,43.1,117.6,18.0
1,2024-08-04,lunch,458.0,38.3,41.5,15.4
1,2024-08-04,breakfast,195.0,13.0,24.1,5.2
1,2024-08-05,snack,2081.0,123.0,282.6,51.0
1,2024-08-05,breakfast,265.0,17.1,29.5,8.7
1,2024-08-05,dinner,129.0,10.4,11.7,4.5
1,2024-08-06,snack,2198.0,114.1,308.8,56.3
1,2024-08-06,breakfast,230.0,19.0,19.1,8.6
1,2024-08-09,snack,474.0,25.8,65.0,12.3
1,2024-08-09,lunch,800.0,65.2,70.7,28.5
1,2024-08-09,breakfast,508.0,26.1,66.0,15.5
1,2024-08-09,dinner,764.0,44.5,83.6,27.9
1,2024-08-10,snack,1298.0,97.8,120.9,47.0
1,2024-08-10,breakfast,1310.0,102.7,156.0,30.6
1,2024-08-13,snack,236.0,14.3,25.3,8.6
1,2024-08-13,breakfast,709.0,40.4,92.2,19.9
1,2024-08-13,lunch,1687.0,140.5,183.7,43.4
1,2024-08-14,dinner,194.0,13.2,23.9,5.1
1,2024-08-14,breakfast,1210.0,96.9,138.1,30.0
1,2024-08-14,snack,283.0,24.0,30.7,7.1
1,2024-08-14,lunch,822.0,43.2,114.2,21.4
1,2024-08-15,breakfast,51.0,2.8,5.9,1.8
1,2024-08-15,snack,644.0,51.8,54.8,24.2
1,2024-08-15,dinner,966.0,54.5,108.8,34.7
1,2024-08-15,lunch,825.0,63.8,81.9,26.9
1,2024-08-16,dinner,817.0,55.5,82.4,29.5
1,2024-08-16,lunch,1726.0,118.1,213.5,44.4
1,2024-08-17,lunch,985.0,80.6,81.4,37.5
1,2024-08-17,snack,1424.0,114.4,150.5,40.5
1,2024-08-18,snack,599.0,52.2,56.7,18.2
1,2024-08-18,breakfast,250.0,12.7,28.9,9.2
1,2024-08-18,lunch,645.0,40.9,80.9,17.5
1,2024-08-18,dinner,884.0,49.9,124.5,20.7
1,2024-08-19,breakfast,539.0,45.6,59.9,13.0
1,2024-08-19,lunch,2088.0,175.8,207.7,61.6
1,2024-08-20,dinner,1136.0,85.0,106.0,41.3
1,2024-08-20,lunch,643.0,39.4,72.5,21.7
1,2024-08-20,breakfast,152.0,11.9,13.4,5.6
1,2024-08-20,snack,737.0,53.8,83.0,21.1
1,2024-08-22,snack,919.0,50.9,124.0,24.4
1,2024-08-22,breakfast,1370.0,110.3,153.3,35.1
1,2024-08-23,breakfast,837.0,47.1,106.1,24.9
1,2024-08-23,snack,1698.0,114.0,214.5,42.7
1,2024-08-24,lunch,334.0,22.3,38.2,10.3
1,2024-08-24,breakfast,1977.0,105.6,248.3,62.4
1,2024-08-25,snack,347.0,21.3,43.9,9.6
1,2024-08-25,breakfast,799.0,41.5,95.5,27.9
1,2024-08-25,dinner,630.0,37.9,76.0,19.4
1,2024-08-25,lunch,815.0,54.1,87.9,27.5
1,2024-08-26,lunch,1087.0,94.5,84.1,41.4
1,2024-08-26,snack,828.0,63.9,95.3,21.2
1,2024-08-26,breakfast,376.0,27.9,45.2,9.3
1,2024-08-26,dinner,296.0,15.5,41.2,7.7
1,2024-08-27,snack,573.0,34.9,68.2,17.8
1,2024-08-27,dinner,379.0,30.6,43.7,9.1
1,2024-08-27,lunch,189.0,11.3,26.3,4.3
